"weak_label","bigram","n","tf","idf","tf_idf"
"fraud_security","money laundering",26,0.000761815464853936,1.6094379124341,0.00122609469141453
"fraud_security","key generation",24,0.000703214275249788,1.6094379124341,0.00113177971515188
"fraud_security","upfront cost",22,0.000644613085645639,1.6094379124341,0.00103746473888922
"fraud_security","external bridges",21,0.000615312490843564,1.6094379124341,0.000990307250757892
"fraud_security","key management",21,0.000615312490843564,1.6094379124341,0.000990307250757892
"fraud_security","share index",21,0.000615312490843564,1.6094379124341,0.000990307250757892
"fraud_security","rachel reeves",19,0.000556711301239415,1.6094379124341,0.000895992274495236
"fraud_security","multi key",18,0.000527410706437341,1.6094379124341,0.000848834786363908
"market_panic","segment tree",27,0.00338812899987451,1.6094379124341,0.00545298326461547
"market_panic","claim range",22,0.00276069770360146,1.6094379124341,0.00444317154894594
"market_panic","liquidity providers",30,0.00376458777763835,0.916290731874155,0.00344945688997674
"market_panic","base fees",49,0.00614882670347597,0.510825623765991,0.00314097823623209
"market_panic","eth liquidity",13,0.00163132137030995,1.6094379124341,0.00262551046074078
"market_panic","segmented segment",13,0.00163132137030995,1.6094379124341,0.00262551046074078
"market_panic","coin eth",12,0.00150583511105534,1.6094379124341,0.00242354811760688
"market_panic","gas eth",18,0.00225875266658301,0.916290731874155,0.00206967413398604
"neutral_other","decentralized stablecoin",18,0.00890648193963384,0.510825623765991,0.00454965919237399
"neutral_other","enshrined oracle",8,0.00395843641761504,0.916290731874155,0.0036270786021738
"neutral_other","ether pool",4,0.00197921820880752,1.6094379124341,0.00318542882223474
"neutral_other","inference costs",4,0.00197921820880752,1.6094379124341,0.00318542882223474
"neutral_other","governance minimized",12,0.00593765462642256,0.510825623765991,0.00303310612824933
"neutral_other","minimized decentralized",12,0.00593765462642256,0.510825623765991,0.00303310612824933
"neutral_other","dollar gusd",6,0.00296882731321128,0.916290731874155,0.00272030895163035
"neutral_other","confidential stablecoins",3,0.00148441365660564,1.6094379124341,0.00238907161667605
"regulatory_stress","issuance schedule",27,0.00247911119272794,1.6094379124341,0.00398997554271607
"regulatory_stress","rollup hub",24,0.00220365439353595,1.6094379124341,0.00354664492685873
"regulatory_stress","staking supply",22,0.00202001652740795,1.6094379124341,0.00325109118295383
"regulatory_stress","eth holder",17,0.00156092186208796,1.6094379124341,0.0025122068231916
"regulatory_stress","staking market",16,0.00146910292902396,1.6094379124341,0.00236442995123915
"regulatory_stress","child rollups",13,0.00119364612983197,1.6094379124341,0.00192109933538181
"regulatory_stress","white house",20,0.00183637866127996,0.916290731874155,0.00168265674754229
"regulatory_stress","mathrm slot",11,0.00101000826370398,1.6094379124341,0.00162554559147692
"technical_friction","cpu cycles",62,0.00872993522951281,1.6094379124341,0.014050288731472
"technical_friction","cycles approx",62,0.00872993522951281,1.6094379124341,0.014050288731472
"technical_friction","universal overflow",33,0.00464657842861166,1.6094379124341,0.00747837948610607
"technical_friction","overflow vector",18,0.00253449732469727,1.6094379124341,0.00407911608333058
"technical_friction","escalator algorithm",24,0.00337932976626302,0.916290731874155,0.00309644854477326
"technical_friction","approx bls",12,0.00168966488313151,1.6094379124341,0.00271941072222039
"technical_friction","batch verify",12,0.00168966488313151,1.6094379124341,0.00271941072222039
"technical_friction","agoric papers",20,0.00281610813855252,0.916290731874155,0.00258037378731105
