"weak_label","word","n","tf","idf","tf_idf"
"fraud_security","policy",91,0.00112540192926045,0.916290731874155,0.00103119535741464
"fraud_security","ukraine",47,0.000581251545881771,1.6094379124341,0.000935488274603051
"fraud_security","fraud",46,0.000568884491714074,1.6094379124341,0.000915584268760433
"fraud_security","delegatee",79,0.000976997279248083,0.916290731874155,0.000895213552041284
"fraud_security","reform",79,0.000976997279248083,0.916290731874155,0.000895213552041284
"fraud_security","chancellor",43,0.000531783329210982,1.6094379124341,0.000855872251232579
"fraud_security","government",304,0.00375958446697997,0.22314355131421,0.00083892702942765
"fraud_security","gas",275,0.00340093989611675,0.22314355131421,0.00075889780622567
"fraud_security","skde",38,0.000469948058372496,1.6094379124341,0.000756352222019488
"fraud_security","russian",66,0.000816225575068019,0.916290731874155,0.000747899929553478
"market_panic","liquidity",131,0.00646530451090712,0.510825623765991,0.0033026432096212
"market_panic","gas",280,0.0138189714736946,0.22314355131421,0.00308361437014997
"market_panic","volatility",92,0.00454051919849965,0.510825623765991,0.00231941355179504
"market_panic","minters",24,0.00118448326917382,1.6094379124341,0.00190635228005224
"market_panic","fee",172,0.0084887967624124,0.22314355131421,0.00189422025594927
"market_panic","fees",155,0.00764978778008094,0.22314355131421,0.00170700081204731
"market_panic","seasonality",19,0.000937715921429277,1.6094379124341,0.00150919555504135
"market_panic","laplace",16,0.000789655512782549,1.6094379124341,0.00127090152003482
"market_panic","gamma",15,0.000740302043233639,1.6094379124341,0.00119147017503265
"market_panic","book",22,0.001085776330076,0.916290731874155,0.000994886788136976
"neutral_other","fai",11,0.00193050193050193,1.6094379124341,0.00310702299697703
"neutral_other","inference",9,0.00157950157950158,0.916290731874155,0.00144728265827789
"neutral_other","solvent",5,0.000877500877500878,1.6094379124341,0.0014122831804441
"neutral_other","issuers",14,0.00245700245700246,0.510825623765991,0.00125509981269285
"neutral_other","asic",7,0.00122850122850123,0.916290731874155,0.00112566428977169
"neutral_other","justindrake",7,0.00122850122850123,0.916290731874155,0.00112566428977169
"neutral_other","gusd",11,0.00193050193050193,0.510825623765991,0.000986149852830098
"neutral_other","vault",11,0.00193050193050193,0.510825623765991,0.000986149852830098
"neutral_other","confidential",6,0.00105300105300105,0.916290731874155,0.000964855105518591
"neutral_other","merchant",6,0.00105300105300105,0.916290731874155,0.000964855105518591
"regulatory_stress","staking",188,0.00704594857956675,0.22314355131421,0.00157225798842184
"regulatory_stress","policy",42,0.00157409489543512,0.916290731874155,0.00144232856377762
"regulatory_stress","sender",23,0.000862004347500187,1.6094379124341,0.00138734247754982
"regulatory_stress","compliance",39,0.00146165954576119,0.916290731874155,0.00133930509493636
"regulatory_stress","stakers",67,0.00251105614271794,0.510825623765991,0.00128271182041531
"regulatory_stress","admission",35,0.00131174574619594,0.916290731874155,0.00120194046981469
"regulatory_stress","encrypted",59,0.00221122854358744,0.510825623765991,0.00112955220006722
"regulatory_stress","workers",32,0.001199310396522,0.916290731874155,0.00109891700097343
"regulatory_stress","democrats",31,0.00116183194663069,0.916290731874155,0.00106457584469301
"regulatory_stress","reform",31,0.00116183194663069,0.916290731874155,0.00106457584469301
"technical_friction","gas",446,0.0241813055736283,0.22314355131421,0.00539590240111351
"technical_friction","preconfirmation",50,0.0027109086965951,1.6094379124341,0.00436303923344746
"technical_friction","mgas",48,0.00260247234873129,1.6094379124341,0.00418851766410957
"technical_friction","fee",191,0.0103556712209933,0.22314355131421,0.0023108012524948
"technical_friction","raiders",21,0.00113858165256994,1.6094379124341,0.00183247647804793
"technical_friction","overflow",66,0.00357839947950553,0.510825623765991,0.00182793814620231
"technical_friction","approx",64,0.00346996313164173,0.510825623765991,0.00177254608116588
"technical_friction","pubkeys",20,0.00108436347863804,1.6094379124341,0.00174521569337899
"technical_friction","gateway",61,0.00330730860984602,0.510825623765991,0.00168945798361123
"technical_friction","msgs",18,0.000975927130774236,1.6094379124341,0.00157069412404109
